"RandDate","Treatment","KLSSuccess","cenKLSSuccess","lastCheckDate","timeToExpunge","cenExpungeTime"
"2021-10-21",0,"yes","no","2024-01-31",832,730
"2022-06-02",0,"no","no","2024-01-31",608,608
"2021-02-18",1,"yes","yes","2021-09-30",224,224
"2020-08-20",0,"no","no","2024-01-31",1259,730
"2020-09-23",0,"partial","no","2024-01-31",1225,730
"2022-06-22",0,"no","no","2024-08-07",777,730
"2019-08-30",1,"yes","yes","2020-03-16",199,199
"2020-03-04",1,"yes","yes","2020-10-31",241,241
"2021-02-22",1,"yes","yes","2022-03-31",402,402
"2021-12-30",1,"no","no","2024-08-06",950,730
"2020-05-13",0,"no","no","2024-01-31",1358,730
"2020-11-19",1,"yes","yes","2022-03-31",497,497
"2020-11-24",0,"no","no","2024-08-01",1346,730
"2021-08-05",0,"no","no","2024-01-31",909,730
"2021-12-24",0,"no","no","2024-01-31",768,730
"2022-06-23",1,"yes","yes","2024-01-31",587,587
"2022-06-22",0,"yes","no","2024-08-07",777,730
"2019-12-12",0,"yes","yes","2021-03-11",455,455
"2021-08-25",1,"yes","yes","2022-03-31",218,218
"2021-12-09",0,"no","no","2024-01-31",783,730
"2020-01-27",0,"yes","yes","2020-03-16",49,49
"2020-07-16",0,"no","no","2024-01-31",1294,730
"2021-12-31",0,"no","no","2024-01-31",761,730
"2021-03-26",0,"yes","no","2024-01-31",1041,730
"2020-07-27",1,"yes","yes","2021-09-30",430,430
"2022-04-27",1,"yes","yes","2023-03-25",332,332
"2020-08-26",0,"yes","no","2024-01-31",1253,730
"2022-03-18",0,"yes","yes","2024-01-31",684,684
"2022-06-22",1,"no","no","2024-08-07",777,730
"2020-07-27",0,"no","no","2024-07-30",1464,730
"2020-12-03",1,"yes","yes","2021-09-30",301,301
"2021-01-19",0,"yes","no","2024-01-31",1107,730
"2020-02-05",0,"yes","no","2024-01-31",1456,730
"2020-06-30",0,"no","no","2024-01-31",1310,730
"2019-09-04",0,"yes","yes","2020-05-25",264,264
"2022-04-29",1,"yes","yes","2023-01-17",263,263
"2021-03-24",1,"yes","yes","2021-09-30",190,190
"2020-07-13",1,"yes","yes","2021-03-11",241,241
"2022-04-19",1,"yes","yes","2022-07-22",94,94
"2019-09-24",0,"yes","no","2024-01-31",1590,730
"2022-06-22",0,"unknown","no","2024-08-07",777,730
"2020-08-28",0,"no","no","2024-01-31",1251,730
"2022-01-19",1,"yes","yes","2022-03-31",71,71
"2019-09-27",1,"yes","yes","2020-03-16",171,171
"2020-06-26",1,"yes","yes","2021-03-11",258,258
"2020-09-11",1,"yes","yes","2021-09-30",384,384
