"stid","recid","treatment","expunge","white","female","age_enroll","total_income","income","ps_employed","unemployed","unemployed_q","local_unemploy","married","dependent"
"KSSTID0287",0,1,1,0,1,38,0,0,1,1,1,2.43333333325,0,1
"KSSTID0288",0,0,1,1,0,46,458,1.87813887467564,0,1,1,3.120833333375,0,0
"KSSTID0289",0,1,0,0,1,57,2619.0075,4.26825775062593,1,1,1,2.516666666625,0,1
"KSSTID0290",1,0,0,1,1,32,0,0,1,1,1,3.120833333375,0,0
"KSSTID0291",1,0,0,1,1,47,2746.305,4.30554557000693,1,1,1,2.777083333375,0,0
"KSSTID0292",0,1,1,0,0,37,412.28125,1.01268130611212,1,1,1,3.512499999875,0,1
"KSSTID0293",0,0,0,1,0,30,15380.52375,5.16538973750255,1,1,1,3.004166666875,0,1
"KSSTID0294",0,0,0,1,0,66,0,0,1,1,1,2.695833333375,0,0
"KSSTID0295",0,1,1,0,0,46,5100.79125,4.61426916306597,1,1,1,3.120833333375,0,1
"KSSTID0296",0,0,0,1,1,32,344.0325,2.26757062370969,0,1,1,3.120833333375,0,0
"KSSTID0297",0,1,1,1,1,60,857.58875,3.59335105375892,1,1,1,2.516666666625,0,0
"KSSTID0298",0,0,0,0,0,52,5758.1425,4.66465341591934,1,1,1,3.512499999875,0,1
"KSSTID0299",0,1,0,1,0,47,0,0,1,1,1,2.92083333325,0,1
"KSSTID0300",0,1,0,1,1,40,5679.64625,4.66697464305411,0,1,1,2.92083333325,0,1
"KSSTID0301",0,1,1,0,1,50,0,0,1,1,1,3.004166666875,0,0
"KSSTID0302",0,1,1,1,0,29,356.075,1.8133952309296,1,1,1,3.512499999875,0,0
"KSSTID0303",0,1,1,1,0,35,5387.43,4.57197494414155,1,1,1,3.2541666665,0,1
"KSSTID0304",0,0,0,0,1,46,10463.89,4.97154347168357,1,1,1,3.512499999875,0,0
"KSSTID0305",1,0,1,0,1,46,1379.69,2.92483791541531,0,1,1,3.004166666875,0,0
"KSSTID0306",0,0,0,0,1,53,6716.40625,4.75113773175516,1,1,1,3.120833333375,0,0
"KSSTID0307",0,1,1,0,1,39,98.1475,0.833398221730569,1,1,1,2.624999999875,0,0
"KSSTID0308",0,0,0,1,1,33,43.875,0.732953896949763,1,1,1,2.92083333325,0,1
"KSSTID0309",0,0,0,1,0,48,6641.19125,4.74368741327651,1,1,1,2.7208333335,0,0
"KSSTID0310",0,1,0,1,0,53,4632.9505,6.3671862264172,1,1,1,3.081249999875,0,0
"KSSTID0311",0,1,1,1,0,40,0,0,1,1,1,2.608333333375,0,1
"KSSTID0312",0,0,0,0,0,31,3833.52625,3.447838826406,0,1,1,3.154166666625,0,1
"KSSTID0313",1,1,1,0,0,40,874.6599,1.92058191352421,0,1,1,3.154166666625,0,0
"KSSTID0314",0,0,0,0,1,38,2007.58125,3.20452742798535,1,1,1,3.154166666625,0,0
"KSSTID0315",0,0,0,1,1,38,6316.22625,3.64843441133439,1,1,1,3.154166666625,0,1
"KSSTID0316",0,0,0,1,1,60,823.75625,2.79449254548617,1,1,1,3.066666666875,0,0
"KSSTID0317",0,0,0,1,0,38,2997.12125,3.368455862956,1,1,1,3.116666666625,0,0
"KSSTID0318",0,1,1,1,1,44,2683.7775,3.3197159521564,1,1,1,2.45,0,1
"KSSTID0319",0,0,1,1,1,34,0,0,1,1,1,2.650000000125,0,1
"KSSTID0320",0,1,1,1,1,31,2719.2075,3.32137449409107,1,1,1,2.475000000125,0,1
"KSSTID0321",0,1,1,1,0,39,12233.12875,3.89224587158234,1,1,1,2.229166666625,0,0
"KSSTID0322",0,1,1,1,1,56,3247.80925,5.27609200977641,0,1,1,2.608333333375,0,0
"KSSTID0323",0,0,0,1,1,43,73.74375,1.36074825847551,1,1,1,3.53333333325,0,1
"KSSTID0324",0,1,0,1,0,47,1309.175,1.15708618298919,0,1,1,3.066666666875,0,0
"KSSTID0325",0,0,0,1,0,44,0,0,1,1,1,3.125,1,1
"KSSTID0326",0,1,1,1,0,44,696.295,1.07817430853605,1,1,1,3.154166666625,0,1
"KSSTID0327",0,0,0,0,0,55,814.10005,2.82401119517353,1,1,1,3.339583333375,0,1
"KSSTID0328",0,1,1,1,1,32,2474.18375,3.26707751823295,0,1,1,2.604166666625,0,1
"KSSTID0329",0,0,0,1,0,52,3969.0175,3.47284374478759,0,1,1,3.154166666625,0,1
"KSSTID0330",0,1,0,1,0,40,5240.56875,3.57921993420565,1,1,1,2.83125,0,1
"KSSTID0331",0,0,0,0,1,44,1575,2.18711590748552,1,1,1,2.524999999875,0,1
"KSSTID0332",0,1,1,1,0,30,5523.1675,3.59689050241796,1,1,1,3.154166666625,0,0
"KSSTID0333",0,0,0,1,1,31,3807.95625,3.45892161941042,1,1,1,2.70833333325,0,1
"KSSTID0334",1,1,1,1,0,33,7012.38875,3.6869975156476,1,1,1,3.345833333125,0,1
"KSSTID0335",0,0,0,0,1,30,696.86625,1.9550807552593,1,1,1,2.604166666625,0,0
"KSSTID0336",0,0,0,0,1,32,2417.92875,3.28270531600479,1,1,1,2.650000000125,0,1
"KSSTID0337",0,0,1,1,1,57,1199.43625,3.01235079951427,1,1,1,3.154166666625,0,0
"KSSTID0338",0,0,0,1,1,40,2001.02375,3.21622496403873,1,1,1,3.154166666625,0,1
"KSSTID0339",0,0,0,1,1,47,0,0,1,1,1,3.154166666625,0,1
"KSSTID0340",0,1,1,1,0,40,4280.76375,3.50254645863373,1,1,1,3.125,0,1
"KSSTID0341",0,1,1,0,1,22,0,0,1,1,1,2.608333333375,0,0
"KSSTID0342",0,1,1,1,1,47,1476.765,3.10354669073006,1,1,1,2.810416666625,0,1
"KSSTID0343",0,1,0,1,0,35,357.83875,2.38586686919594,0,1,1,2.652083333375,0,0
"KSSTID0344",0,1,1,1,0,64,0,0,1,1,1,3.116666666625,0,0
"KSSTID0345",0,1,1,0,1,33,3213.8975,3.39389151738986,1,1,1,2.608333333375,0,1
"KSSTID0346",0,1,1,1,1,24,48.8025,1.31016186009347,0,1,1,3.562499999875,0,0
"KSSTID0347",0,1,1,1,0,38,1551.59625,2.18337276844488,1,1,1,2.604166666625,0,1
