"stid","seq","life_comp","treatment","expunge","white","female","age_enroll","income","income_lag","house_sat","job_sat","unemployed","unemploy_lag","ps_income","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0013",6,-3.30398701080317,0,1,1,1,38,0,0,4,3,1,1,3081.41,1,3.2,1,0,2021
"KSSTID0014",1,2.1464254129511,1,0,1,0,26,8.24286034030685,8.52006306937418,3,1,0,0,5013.37,1,2.983333333,0,0,2020
"KSSTID0014",2,1.93212927329757,1,1,1,0,26,9.32356323650579,8.24286034030685,3,1,1,0,5013.37,1,6.433333333,0,0,2020
"KSSTID0014",3,0.746753075887641,1,1,1,0,26,5.56975713148676,9.32356323650579,3,,1,1,5013.37,1,4.483333333,0,0,2020
"KSSTID0014",4,1.80040426109798,1,1,1,0,26,6.8387909785156,5.56975713148676,3,3,0,1,5013.37,1,3.15,0,0,2020
"KSSTID0014",5,1.4167073283287,1,1,1,0,26,8.66628021540726,6.8387909785156,3,3,0,0,5013.37,1,2.95,0,0,2021
"KSSTID0014",6,0.333900176764257,1,1,1,0,26,9.22907281899053,8.66628021540726,3,3,0,0,5013.37,1,2.933333333,0,0,2021
"KSSTID0015",1,-1.3337552147608,0,0,1,0,44,0,0,3,2,1,1,0,1,2.566666667,1,1,2020
"KSSTID0015",2,1.08259018681788,0,0,1,0,44,0,0,3,2,1,1,0,1,5.2,1,1,2020
"KSSTID0015",3,1.00659571648284,0,0,1,0,44,0,0,3,,1,1,0,1,3.8,1,1,2020
"KSSTID0015",4,-0.505979530568942,0,0,1,0,44,0,0,3,3,1,1,0,1,2.866666667,1,1,2020
"KSSTID0015",5,0.286615929290211,0,0,1,0,44,0,0,4,2,1,1,0,1,2.733333333,1,1,2021
"KSSTID0015",6,-2.60226887674824,0,0,1,0,44,0,0,4,2,1,1,0,1,2.733333333,1,1,2021
"KSSTID0016",1,-0.462588024019831,1,1,1,0,28,7.90579925472828,7.72500769016294,4,3,0,0,2263.27,1,3.7,0,0,2020
"KSSTID0016",1,-0.462588024019831,1,1,1,0,28,7.90579925472828,7.72500769016294,4,3,0,0,2263.27,1,3.7,0,0,2020
"KSSTID0016",2,0.37250160393886,1,1,1,0,28,7.75488026728497,7.90579925472828,2,3,0,0,2263.27,1,14.46666667,0,0,2020
"KSSTID0016",2,0.37250160393886,1,1,1,0,28,7.75488026728497,7.75488026728497,2,3,0,0,2263.27,1,14.46666667,0,0,2020
"KSSTID0016",3,0.0172578447184685,1,1,1,0,28,8.26149287345267,7.75488026728497,4,,0,0,2263.27,1,9.1,0,0,2020
"KSSTID0016",3,0.0172578447184685,1,1,1,0,28,8.26149287345267,8.26149287345267,4,,0,0,2263.27,1,9.1,0,0,2020
"KSSTID0016",4,2.28459446571768,1,1,1,0,28,7.94742756772787,8.26149287345267,3,3,0,0,2263.27,1,6.533333333,0,0,2020
"KSSTID0016",4,2.62032359508995,1,1,1,0,28,7.94742756772787,7.94742756772787,3,3,0,0,2263.27,1,6.533333333,0,0,2020
"KSSTID0016",5,0.532255629980602,1,1,1,0,28,8.19504389008221,7.94742756772787,,3,0,0,2263.27,1,5.7,0,0,2021
"KSSTID0016",5,0.532255629980602,1,1,1,0,28,8.19504389008221,8.19504389008221,,3,0,0,2263.27,1,5.7,0,0,2021
"KSSTID0016",6,0.117481157200441,1,1,1,0,28,8.55841766493096,8.55841766493096,3,3,0,0,2263.27,1,4.633333333,0,0,2021
"KSSTID0016",6,0.117481157200441,1,1,1,0,28,8.55841766493096,8.19504389008221,3,3,0,0,2263.27,1,4.633333333,0,0,2021
"KSSTID0017",1,0.870734852029479,1,0,1,0,50,9.90792120933807,9.68073954798298,3,3,0,0,16005.33,1,3.366666667,1,0,2020
"KSSTID0017",2,2.21463014141124,1,0,1,0,50,9.64084720701177,9.90792120933807,3,3,0,0,16005.33,1,11.16666667,1,0,2020
"KSSTID0017",3,2.74641020850155,1,0,1,0,50,9.88628093816063,9.64084720701177,3,,0,0,16005.33,1,6.633333333,1,0,2020
"KSSTID0017",4,0.425706523657959,1,0,1,0,50,9.73114167280878,9.88628093816063,2,3,0,0,16005.33,1,4.8,1,0,2020
"KSSTID0017",5,1.86445155351797,1,0,1,0,50,9.54717539992352,9.73114167280878,3,2,0,0,16005.33,1,4.366666667,1,0,2021
"KSSTID0017",6,0.406169016569001,1,0,1,0,50,9.62737364345465,9.54717539992352,3,2,0,0,16005.33,1,3.666666667,1,0,2021
"KSSTID0018",1,0.586016032503907,1,0,1,1,44,0,0,4,3,1,1,0,1,3.7,1,1,2020
"KSSTID0018",2,1.70381296741395,1,0,1,1,44,0,0,3,1,1,1,0,1,14.46666667,1,1,2020
"KSSTID0018",3,-0.0696224314177505,1,1,1,1,44,0,0,3,4,1,1,0,1,9.1,1,1,2020
"KSSTID0018",4,0.187481268804059,1,1,1,1,44,5.17048399503815,0,,1,0,1,0,1,5.7,1,1,2021
"KSSTID0018",5,-2.39538847638565,1,1,1,1,44,7.9067313774749,5.17048399503815,2,4,0,0,0,1,5.066666667,1,1,2021
"KSSTID0018",6,-1.77830493382145,1,1,1,1,44,8.79964209469297,7.9067313774749,4,4,0,0,0,1,4.633333333,1,1,2021
"KSSTID0019",1,-0.000754238595443451,1,0,1,0,27,4.28165366052709,5.20636653780013,3,1,0,0,181.43,1,3.7,0,0,2020
"KSSTID0019",2,1.22365092052687,1,0,1,0,27,6.50669545335288,4.28165366052709,3,1,0,0,181.43,1,9.933333333,0,0,2020
"KSSTID0019",3,1.32883376968214,1,1,1,0,27,5.70178047198553,6.50669545335288,4,3,0,0,181.43,1,6.1,0,0,2020
"KSSTID0019",4,1.35893855751937,1,1,1,0,27,0,5.70178047198553,,2,1,0,181.43,1,4.066666667,0,0,2021
"KSSTID0019",5,0.933015069114848,1,1,1,0,27,0,0,1,2,1,1,181.43,1,3.533333333,0,0,2021
"KSSTID0019",6,0.309410612490319,1,1,1,0,27,6.48912894059615,0,,4,0,1,181.43,1,3.533333333,0,0,2021
"KSSTID0020",1,-0.361224848969569,0,0,1,0,58,9.07759495610528,9.242155849311,3,2,0,0,10322.27,1,3.7,0,0,2020
"KSSTID0020",2,0.827731717889929,0,0,1,0,58,9.38061802458757,9.07759495610528,3,,0,0,10322.27,1,14.46666667,0,0,2020
"KSSTID0020",3,1.54510004867692,0,0,1,0,58,8.91403724479213,9.38061802458757,3,,0,0,10322.27,1,9.1,0,0,2020
"KSSTID0020",4,1.04919786614035,0,1,1,0,58,9.09484646426606,8.91403724479213,,2,0,0,10322.27,1,5.7,0,0,2021
"KSSTID0020",5,-2.90062638043164,0,1,1,0,58,9.2149019521318,9.09484646426606,,,0,0,10322.27,1,5.066666667,0,0,2021
"KSSTID0020",6,-1.30432987818927,0,1,1,0,58,9.22907380043196,9.2149019521318,1,,0,0,10322.27,1,4.633333333,0,0,2021
"KSSTID0021",1,1.16921854622618,1,0,1,0,53,0,0,4,1,1,1,0,1,3.7,0,0,2020
"KSSTID0021",2,1.04080424209158,1,0,1,0,53,0,0,3,2,1,1,0,1,14.46666667,0,0,2020
"KSSTID0021",3,0.912389937956978,1,0,1,0,53,0,0,2,1,1,1,0,1,9.1,0,0,2020
"KSSTID0021",4,3.58489021827433,1,0,1,0,53,0,0,,,1,1,0,1,5.7,1,0,2021
"KSSTID0021",5,1.22942812190064,1,0,1,0,53,0,0,2,1,1,1,0,1,5.066666667,1,0,2021
"KSSTID0021",6,0.804320540443463,1,0,1,0,53,0,0,1,1,1,1,0,1,4.633333333,1,0,2021
"KSSTID0022",1,-2.22999091897175,1,0,1,0,37,0,0,3,4,1,1,0,1,3.9,0,0,2020
"KSSTID0022",2,-1.19930900684448,1,0,1,0,37,0,0,,,1,1,0,1,9.833333333,0,0,2020
"KSSTID0022",3,-0.493760635532329,1,0,1,0,37,0,0,,,1,1,0,1,5.966666667,0,0,2020
"KSSTID0022",4,-1.95900072252146,1,1,1,0,37,0,0,,,1,1,0,1,4.266666667,0,0,2021
"KSSTID0022",5,-0.227339256441629,1,1,1,0,37,0,0,,,1,1,0,1,3.833333333,0,0,2021
"KSSTID0022",6,3.79562373313495,1,1,1,0,37,0,0,,,1,1,0,1,3.766666667,0,0,2021
"KSSTID0023",1,1.23839497341028,0,0,1,0,29,8.7156702098,8.19671791835798,1,1,0,0,3628.02,1,3.533333333,0,0,2020
"KSSTID0023",2,1.01052469805658,0,1,1,0,29,8.10212007385625,8.7156702098,2,1,0,0,3628.02,1,7.866666667,0,0,2020
"KSSTID0023",3,2.41040244603081,0,1,1,0,29,8.87926076893449,8.10212007385625,3,3,0,0,3628.02,1,5.666666667,0,0,2020
"KSSTID0023",4,2.23993458470561,0,1,1,0,29,8.63288337191159,8.87926076893449,2,1,0,0,3628.02,1,5.033333333,0,0,2021
"KSSTID0023",5,-0.824656252429789,0,1,1,0,29,7.62916916525039,8.63288337191159,,1,0,0,3628.02,1,4.483333333,0,0,2021
"KSSTID0023",6,-0.917607594475955,0,1,1,0,29,8.55948610360649,7.62916916525039,1,3,0,0,3628.02,1,4.15,0,0,2021
"KSSTID0024",1,-1.5630671500589,1,1,1,0,39,9.90908237230296,9.39463248594641,4,4,0,0,12022.67,1,3.366666667,1,1,2020
"KSSTID0024",2,-0.535660158699435,1,1,1,0,39,9.91188717671446,9.90908237230296,4,3,0,0,12022.67,1,6.633333333,1,1,2020
"KSSTID0024",3,-0.172308132551234,1,1,1,0,39,10.1516198677055,9.91188717671446,4,3,0,0,12022.67,1,4.8,1,1,2020
