"stid","seq","moved_uty","treatment","expunge","white","female","age_enroll","income","income_lag","house_sat","move_deter","unemployed","unemploy_lag","ps_employed","ps_moved","local_unemploy","married","dependent","year"
"KSSTID0130",2,0,0,0,1,1,39,9.29983366645894,9.42031600555195,4,0,0,0,1,1,4.066666667,1,0,2021
"KSSTID0130",3,0,0,0,1,1,39,8.31660827005316,9.29983366645894,4,0,0,0,1,1,3.533333333,1,0,2021
"KSSTID0130",4,1,0,0,1,1,39,8.64375535528395,8.31660827005316,4,0,0,0,1,1,2.4,1,0,2021
"KSSTID0130",5,0,0,0,1,1,39,4.495578509358,8.64375535528395,1,,0,0,1,1,3.066666667,1,0,2022
"KSSTID0130",6,0,0,0,1,1,39,0,4.495578509358,,,1,0,1,1,2.7,1,0,2022
"KSSTID0131",1,1,0,0,1,0,49,7.99184597113123,8.15731025020938,,0,0,0,1,1,3.7,1,0,2020
"KSSTID0131",2,0,0,0,1,0,49,8.00770001288403,7.99184597113123,3,0,0,0,1,0,3.511111111,0,0,2021
"KSSTID0131",3,0,0,0,1,0,49,8.04004409400963,8.00770001288403,3,0,0,0,1,1,3.5,0,0,2021
"KSSTID0131",4,0,0,0,1,0,49,8.29667120080698,8.04004409400963,3,0,0,0,1,0,2.188888889,0,0,2021
"KSSTID0131",5,0,0,0,1,0,49,8.15543391556814,8.29667120080698,3,0,0,0,1,0,2.733333333,0,0,2022
"KSSTID0131",6,0,0,0,1,0,49,8.39066578494448,8.15543391556814,3,0,0,0,1,0,2.633333333,0,0,2022
"KSSTID0132",1,0,1,0,0,0,48,0,0,3,1,1,1,1,0,6.533333333,1,0,2020
"KSSTID0132",2,1,1,1,0,0,48,0,0,2,1,1,1,1,0,5.7,0,1,2021
"KSSTID0132",3,1,1,1,0,0,48,8.41643540028498,0,3,1,0,1,1,0,4.633333333,0,1,2021
"KSSTID0132",4,0,1,1,0,0,48,8.29005918883126,8.41643540028498,4,1,0,0,1,0,3.066666667,0,1,2021
"KSSTID0132",5,0,1,1,0,0,48,8.11995812342809,8.29005918883126,4,0,0,0,1,0,3.366666667,1,0,2022
"KSSTID0132",6,0,1,1,0,0,48,9.12328572132299,8.11995812342809,4,0,0,0,1,0,2.966666667,1,0,2022
"KSSTID0133",1,1,0,0,1,1,40,9.17077800046433,8.93534547585641,3,0,0,0,0,1,3.15,0,1,2020
"KSSTID0133",2,0,0,0,1,1,40,9.2785923023674,9.17077800046433,3,0,0,0,0,1,2.95,0,0,2021
