"stid","seq","house_sat","treatment","expunge","white","female","age_enroll","income","income_lag","house_num","house_size","move_attempt","unemployed","unemploy_lag","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0014",4,3,1,1,1,0,26,6.8387909785156,5.56975713148676,3,6,0,0,1,1,3.15,0,0,2020
"KSSTID0014",5,3,1,1,1,0,26,8.66628021540726,6.8387909785156,3,4,0,0,0,1,2.95,0,0,2021
"KSSTID0014",6,3,1,1,1,0,26,9.22907281899053,8.66628021540726,3,4,0,0,0,1,2.933333333,0,0,2021
"KSSTID0015",1,3,0,0,1,0,44,0,0,7,5,0,1,1,1,2.566666667,1,1,2020
"KSSTID0015",2,3,0,0,1,0,44,0,0,7,5,0,1,1,1,5.2,1,1,2020
"KSSTID0015",3,3,0,0,1,0,44,0,0,6,5,0,1,1,1,3.8,1,1,2020
"KSSTID0015",4,3,0,0,1,0,44,0,0,6,5,1,1,1,1,2.866666667,1,1,2020
"KSSTID0015",5,4,0,0,1,0,44,0,0,6,5,0,1,1,1,2.733333333,1,1,2021
"KSSTID0015",6,4,0,0,1,0,44,0,0,6,6,0,1,1,1,2.733333333,1,1,2021
"KSSTID0016",1,4,1,1,1,0,28,7.90579925472828,7.72500769016294,4,3,0,0,0,1,3.7,0,0,2020
"KSSTID0016",1,4,1,1,1,0,28,7.90579925472828,7.72500769016294,4,3,0,0,0,1,3.7,0,0,2020
"KSSTID0016",2,2,1,1,1,0,28,7.75488026728497,7.90579925472828,5,4,0,0,0,1,14.46666667,0,0,2020
"KSSTID0016",2,2,1,1,1,0,28,7.75488026728497,7.75488026728497,5,4,0,0,0,1,14.46666667,0,0,2020
"KSSTID0016",3,4,1,1,1,0,28,8.26149287345267,7.75488026728497,4,4,0,0,0,1,9.1,0,0,2020
"KSSTID0016",3,4,1,1,1,0,28,8.26149287345267,8.26149287345267,4,4,0,0,0,1,9.1,0,0,2020
"KSSTID0016",4,3,1,1,1,0,28,7.94742756772787,8.26149287345267,4,5,0,0,0,1,6.533333333,0,0,2020
"KSSTID0016",4,3,1,1,1,0,28,7.94742756772787,7.94742756772787,4,5,0,0,0,1,6.533333333,0,0,2020
"KSSTID0016",5,,1,1,1,0,28,8.19504389008221,7.94742756772787,5,5,0,0,0,1,5.7,0,0,2021
"KSSTID0016",5,,1,1,1,0,28,8.19504389008221,8.19504389008221,5,5,0,0,0,1,5.7,0,0,2021
"KSSTID0016",6,3,1,1,1,0,28,8.55841766493096,8.55841766493096,4,5,0,0,0,1,4.633333333,0,0,2021
"KSSTID0016",6,3,1,1,1,0,28,8.55841766493096,8.19504389008221,4,5,0,0,0,1,4.633333333,0,0,2021
"KSSTID0017",1,3,1,0,1,0,50,9.90792120933807,9.68073954798298,0,1,0,0,0,1,3.366666667,1,0,2020
"KSSTID0017",2,3,1,0,1,0,50,9.64084720701177,9.90792120933807,2,5,0,0,0,1,11.16666667,1,0,2020
"KSSTID0017",3,3,1,0,1,0,50,9.88628093816063,9.64084720701177,1,5,0,0,0,1,6.633333333,1,0,2020
"KSSTID0017",4,2,1,0,1,0,50,9.73114167280878,9.88628093816063,1,5,0,0,0,1,4.8,1,0,2020
"KSSTID0017",5,3,1,0,1,0,50,9.54717539992352,9.73114167280878,0,1,0,0,0,1,4.366666667,1,0,2021
"KSSTID0017",6,3,1,0,1,0,50,9.62737364345465,9.54717539992352,0,1,0,0,0,1,3.666666667,1,0,2021
"KSSTID0018",1,4,1,0,1,1,44,0,0,3,4,0,1,1,1,3.7,1,1,2020
"KSSTID0018",2,3,1,0,1,1,44,0,0,3,6,0,1,1,1,14.46666667,1,1,2020
"KSSTID0018",3,3,1,1,1,1,44,0,0,3,4,0,1,1,1,9.1,1,1,2020
"KSSTID0018",4,,1,1,1,1,44,5.17048399503815,0,2,5,0,0,1,1,5.7,1,1,2021
"KSSTID0018",5,2,1,1,1,1,44,7.9067313774749,5.17048399503815,2,4,0,0,0,1,5.066666667,1,1,2021
"KSSTID0018",6,4,1,1,1,1,44,8.79964209469297,7.9067313774749,3,6,,0,0,1,4.633333333,1,1,2021
"KSSTID0019",1,3,1,0,1,0,27,4.28165366052709,5.20636653780013,2,3,0,0,0,1,3.7,0,0,2020
"KSSTID0019",2,3,1,0,1,0,27,6.50669545335288,4.28165366052709,2,2,1,0,0,1,9.933333333,0,0,2020
"KSSTID0019",3,4,1,1,1,0,27,5.70178047198553,6.50669545335288,1,2,1,0,0,1,6.1,0,0,2020
"KSSTID0019",4,,1,1,1,0,27,0,5.70178047198553,0,2,0,1,0,1,4.066666667,0,0,2021
"KSSTID0019",5,1,1,1,1,0,27,0,0,0,1,1,1,1,1,3.533333333,0,0,2021
"KSSTID0019",6,,1,1,1,0,27,6.48912894059615,0,1,3,0,0,1,1,3.533333333,0,0,2021
"KSSTID0020",1,3,0,0,1,0,58,9.07759495610528,9.242155849311,1,4,0,0,0,1,3.7,0,0,2020
"KSSTID0020",2,3,0,0,1,0,58,9.38061802458757,9.07759495610528,1,4,0,0,0,1,14.46666667,0,0,2020
"KSSTID0020",3,3,0,0,1,0,58,8.91403724479213,9.38061802458757,1,3,0,0,0,1,9.1,0,0,2020
"KSSTID0020",4,,0,1,1,0,58,9.09484646426606,8.91403724479213,1,3,0,0,0,1,5.7,0,0,2021
"KSSTID0020",5,,0,1,1,0,58,9.2149019521318,9.09484646426606,1,4,,0,0,1,5.066666667,0,0,2021
"KSSTID0020",6,1,0,1,1,0,58,9.22907380043196,9.2149019521318,0,1,,0,0,1,4.633333333,0,0,2021
"KSSTID0021",1,4,1,0,1,0,53,0,0,1,4,0,1,1,1,3.7,1,0,2020
"KSSTID0021",2,3,1,0,1,0,53,0,0,1,4,0,1,1,1,14.46666667,1,0,2020
"KSSTID0021",3,2,1,0,1,0,53,0,0,1,4,0,1,1,1,9.1,1,0,2020
"KSSTID0021",4,,1,0,1,0,53,0,0,1,6,0,1,1,1,5.7,1,0,2021
"KSSTID0021",5,2,1,0,1,0,53,0,0,1,6,0,1,1,1,5.066666667,1,0,2021
"KSSTID0021",6,1,1,0,1,0,53,0,0,1,6,0,1,1,1,4.633333333,1,0,2021
"KSSTID0022",1,3,1,0,1,0,37,0,0,2,3,0,1,1,1,3.9,0,0,2020
"KSSTID0022",2,,1,0,1,0,37,0,0,1,3,,1,1,1,9.833333333,0,0,2020
"KSSTID0022",3,,1,0,1,0,37,0,0,1,3,,1,1,1,5.966666667,0,0,2020
"KSSTID0022",4,,1,1,1,0,37,0,0,0,2,,1,1,1,4.266666667,0,0,2021
"KSSTID0022",5,,1,1,1,0,37,0,0,4,3,,1,1,1,3.833333333,0,0,2021
"KSSTID0022",6,,1,1,1,0,37,0,0,0,2,,1,1,1,3.766666667,0,0,2021
"KSSTID0023",1,1,0,0,1,0,29,8.7156702098,8.19671791835798,6,5,0,0,0,1,3.533333333,0,0,2020
"KSSTID0023",2,2,0,1,1,0,29,8.10212007385625,8.7156702098,5,5,0,0,0,1,7.866666667,0,0,2020
"KSSTID0023",3,3,0,1,1,0,29,8.87926076893449,8.10212007385625,6,5,0,0,0,1,5.666666667,0,0,2020
"KSSTID0023",4,2,0,1,1,0,29,8.63288337191159,8.87926076893449,5,5,0,0,0,1,5.033333333,0,0,2021
"KSSTID0023",5,,0,1,1,0,29,7.62916916525039,8.63288337191159,1,3,,0,0,1,4.483333333,0,0,2021
"KSSTID0023",6,1,0,1,1,0,29,8.55948610360649,7.62916916525039,6,3,,0,0,1,4.15,0,0,2021
"KSSTID0024",1,4,1,1,1,0,39,9.90908237230296,9.39463248594641,6,5,0,0,0,1,3.366666667,1,1,2020
"KSSTID0024",2,4,1,1,1,0,39,9.91188717671446,9.90908237230296,4,4,0,0,0,1,6.633333333,1,1,2020
"KSSTID0024",3,4,1,1,1,0,39,10.1516198677055,9.91188717671446,4,6,1,0,0,1,4.8,1,1,2020
"KSSTID0024",4,4,1,1,1,0,39,9.77754557303433,10.1516198677055,5,6,0,0,0,1,4.366666667,1,1,2021
"KSSTID0024",5,4,1,1,1,0,39,9.79912320720251,9.77754557303433,4,6,0,0,0,1,3.9,1,1,2021
"KSSTID0024",6,4,1,1,1,0,39,9.9950730771436,9.79912320720251,4,5,0,0,0,1,3.666666667,1,1,2021
"KSSTID0025",1,4,0,0,1,1,47,9.65929910262617,9.61090415485658,4,2,1,0,0,1,3.7,0,1,2020
"KSSTID0025",2,4,0,0,1,1,47,9.62610799049917,9.65929910262617,4,2,0,0,0,1,9.1,0,1,2020
"KSSTID0025",3,3,0,0,1,1,47,9.19653349419641,9.62610799049917,2,2,0,0,0,1,6.533333333,0,1,2020
"KSSTID0025",4,4,0,0,1,1,47,9.26661483969529,9.19653349419641,5,2,1,0,0,1,5.7,0,1,2021
"KSSTID0025",5,3,0,0,1,1,47,8.84740012768302,9.26661483969529,2,4,0,0,0,1,5.066666667,0,1,2021
"KSSTID0025",6,3,0,0,1,1,47,9.73252127978031,8.84740012768302,4,4,0,0,0,1,4.633333333,0,1,2021
"KSSTID0026",1,4,1,0,1,0,56,0,0,1,2,0,1,1,1,3.7,0,0,2020
"KSSTID0026",2,3,1,1,1,0,56,0,0,0,4,0,1,1,1,9.1,0,0,2020
"KSSTID0026",3,4,1,1,1,0,56,0,0,0,2,0,1,1,1,6.533333333,1,0,2020
"KSSTID0026",4,3,1,1,1,0,56,0,0,0,3,0,1,1,1,5.7,1,0,2021
"KSSTID0026",5,3,1,1,1,0,56,0,0,0,3,0,1,1,1,5.066666667,1,0,2021
"KSSTID0026",6,3,1,1,1,0,56,0,0,0,3,0,1,1,1,4.633333333,1,0,2021
"KSSTID0027",1,3,0,0,1,1,33,0,0,3,1,1,1,1,1,3.883333333,1,1,2020
"KSSTID0027",2,,0,0,1,1,33,0,0,0,1,,1,1,1,5.1,1,1,2020
"KSSTID0027",3,2,0,0,1,1,33,0,0,3,2,1,1,1,1,3.7,1,1,2020
"KSSTID0027",4,2,0,0,1,1,33,6.86797440897029,0,3,2,1,0,1,1,3.666666667,0,1,2021
"KSSTID0027",5,,0,0,1,1,33,0,6.86797440897029,3,3,1,1,0,1,3.2,0,1,2021
"KSSTID0027",6,,0,0,1,1,33,0,0,1,4,,1,1,1,3.3,0,1,2021
"KSSTID0028",1,4,0,0,1,1,26,7.05080745477188,6.22975283574864,2,2,0,0,0,1,3.366666667,0,1,2020
"KSSTID0028",2,1,0,0,1,1,26,7.55678859442293,7.05080745477188,2,2,0,0,0,1,6.633333333,0,1,2020
"KSSTID0028",3,3,0,0,1,1,26,7.61590436611043,7.55678859442293,2,2,0,0,0,1,4.8,0,1,2020
"KSSTID0028",4,3,0,0,1,1,26,7.69324916167178,7.61590436611043,2,2,0,0,0,1,4.366666667,0,1,2021
"KSSTID0028",5,3,0,0,1,1,26,6.61279343987746,7.69324916167178,2,1,1,0,0,1,3.9,0,1,2021
"KSSTID0028",6,3,0,0,1,1,26,0,6.61279343987746,3,3,0,1,0,1,3.666666667,0,1,2021
"KSSTID0029",1,2,1,0,1,1,42,9.27296299645529,8.8496201139193,3,2,0,0,0,1,4.733333333,0,1,2020
"KSSTID0029",2,2,1,1,1,1,42,9.49551931420985,9.27296299645529,2,2,0,0,0,1,6,0,1,2020
"KSSTID0029",3,1,1,1,1,1,42,9.59885597875063,9.49551931420985,2,2,1,0,0,1,4.066666667,0,1,2020
"KSSTID0029",4,2,1,1,1,1,42,10.0274302451612,9.59885597875063,2,2,0,0,0,1,4.2,0,1,2021
"KSSTID0029",5,3,1,1,1,1,42,10.1462945057688,10.0274302451612,2,3,0,0,0,1,3.7,0,1,2021
"KSSTID0029",6,4,1,1,1,1,42,9.54987434526588,10.1462945057688,3,3,0,0,0,1,3.666666667,0,1,2021
"KSSTID0030",1,2,1,0,0,1,33,9.01595918932962,9.38670086353862,2,4,1,0,0,1,14.46666667,0,1,2020
"KSSTID0030",2,2,1,1,0,1,33,9.31256206668554,9.01595918932962,2,4,0,0,0,1,9.1,0,1,2020
"KSSTID0030",3,3,1,1,0,1,33,9.35504659297544,9.31256206668554,2,4,0,0,0,1,6.533333333,0,1,2020
"KSSTID0030",4,3,1,1,0,1,33,8.7767489001963,9.35504659297544,2,4,0,0,0,1,5.7,0,1,2021
"KSSTID0030",5,2,1,1,0,1,33,9.16559088327114,8.7767489001963,2,4,1,0,0,1,5.066666667,0,1,2021
