"stid","seq","unemployed","treatment","expunge","white","female","age_enroll","total_income","income","income_lag","unemploy_lag","ps_employed","local_unemploy","married","dependent","year"
"KSSTID0005",-6,0,0,0,1,0,45,18125,9.80510265061473,9.54952321729037,0,0,4,1,1,2018
"KSSTID0005",-4,0,0,0,1,0,45,23064.5,10.0460932736239,10.0692307783992,0,0,3.666666667,1,1,2018
"KSSTID0005",-7,0,0,0,1,0,45,14037,9.54952321729037,9.83467323653577,0,0,3.5,1,1,2017
"KSSTID0005",5,1,0,0,1,0,45,3404.5455,8.1331604113321,7.66924057338869,1,0,6.533333333,1,1,2020
"KSSTID0005",1,0,0,0,1,0,45,5710,8.65014941866486,0,1,0,2.966666667,1,1,2019
"KSSTID0005",6,0,0,0,1,0,45,5578.26,8.62681143009356,8.1331604113321,1,0,5.7,1,1,2021
"KSSTID0005",7,0,0,0,1,0,45,7254.34,8.88949302845176,8.62681143009356,0,0,5.066666667,1,1,2021
"KSSTID0005",-2,0,0,0,1,0,45,5544.88,8.62081058872562,9.04830015140841,0,0,3.733333333,1,1,2019
"KSSTID0005",-3,0,0,0,1,0,45,8503.07,9.04830015140841,10.0460932736239,0,0,3.133333333,1,1,2018
"KSSTID0005",4,1,0,0,1,0,45,2140.45455,7.66924057338869,8.37183707579121,1,0,9.1,1,1,2020
"KSSTID0005",0,1,0,0,1,0,45,0,0,0,1,0,3.5,1,1,2019
"KSSTID0005",-5,0,0,0,1,0,45,23604.4,10.0692307783992,9.80510265061473,0,0,3.566666667,1,1,2018
"KSSTID0006",-8,0,1,0,1,1,35,5731.04,8.65382676729078,,,1,3.055555556,0,1,2017
"KSSTID0006",-7,0,1,0,1,1,35,4237.41,8.35194347789592,8.65382676729078,0,1,2.244444444,0,1,2017
"KSSTID0006",-6,0,1,0,1,1,35,4612.31,8.43670088268729,8.35194347789592,0,1,2.522222222,0,1,2018
"KSSTID0006",-5,0,1,0,1,1,35,4785.75,8.47360696325331,8.43670088268729,0,1,2.544444444,0,1,2018
"KSSTID0006",-4,0,1,0,1,1,35,4923.26,8.50192928850985,8.47360696325331,0,1,2.722222222,0,1,2018
"KSSTID0006",-3,0,1,0,1,1,35,4189.14,8.34048942524581,8.50192928850985,0,1,2.166666667,0,1,2018
"KSSTID0006",-2,0,1,0,1,1,35,5357.49,8.58643749795741,8.34048942524581,0,1,2.511111111,0,1,2019
"KSSTID0006",-1,0,1,0,1,1,35,5016.05,8.5205973905498,8.58643749795741,0,1,2.255555556,0,1,2019
"KSSTID0006",0,0,1,0,1,1,35,5651.74,8.63989566233966,8.5205973905498,0,1,2.666666667,0,1,2019
"KSSTID0006",1,0,1,0,1,1,35,4695.47,8.45456644167862,8.63989566233966,0,1,2.111111111,0,1,2019
"KSSTID0006",2,0,1,1,1,1,35,5099.33,8.53706052250143,8.45456644167862,0,1,2.5,0,1,2020
"KSSTID0006",3,0,1,1,1,1,35,6435.18,8.76969047540298,8.53706052250143,0,1,3.622222222,0,1,2020
"KSSTID0006",4,0,1,1,1,1,35,7203.63,8.88247915388807,8.76969047540298,0,1,3.133333333,0,1,2020
"KSSTID0006",5,0,1,1,1,1,35,6269.7,8.7436432701386,8.88247915388807,0,1,2.344444444,0,1,2020
"KSSTID0006",6,0,1,1,1,1,35,4881.12,8.49333483074095,8.7436432701386,0,1,2.222222222,0,1,2021
"KSSTID0006",7,0,1,1,1,1,35,6288.65,8.74666070426714,8.49333483074095,0,1,2.188888889,0,1,2021
"KSSTID0007",-8,1,1,0,0,1,51,0,0,,,1,2.666666667,0,0,2017
"KSSTID0007",-7,1,1,0,0,1,51,0,0,0,1,1,3.1,0,1,2018
"KSSTID0007",-6,1,1,0,0,1,51,0,0,0,1,1,2.8,0,1,2018
"KSSTID0007",-5,0,1,0,0,1,51,4558.76,8.42502526954439,0,1,1,3,0,1,2018
"KSSTID0007",-4,0,1,0,0,1,51,4206.77,8.34468809512908,8.42502526954439,0,1,2.6,0,1,2018
"KSSTID0007",-3,0,1,0,0,1,51,3893.54,8.26733085120211,8.34468809512908,0,1,3.1,0,1,2019
"KSSTID0007",-2,0,1,0,0,1,51,4192.23,8.34122659899335,8.26733085120211,0,1,2.666666667,0,1,2019
"KSSTID0007",-1,0,1,0,0,1,51,5025.8,8.52253887774099,8.34122659899335,0,1,3,0,1,2019
"KSSTID0007",0,0,1,0,0,1,51,5954.65,8.69209562780589,8.52253887774099,0,1,2.4,0,1,2019
"KSSTID0007",1,0,1,0,0,1,51,4359.29,8.38029384789261,8.69209562780589,0,1,2.766666667,0,0,2020
"KSSTID0007",2,0,1,0,0,1,51,2443.36,7.80153860895298,8.38029384789261,0,1,8.7,0,0,2020
"KSSTID0007",3,0,1,0,0,1,51,3115.63,8.04450756883954,7.80153860895298,0,1,5.3,0,0,2020
"KSSTID0007",4,0,1,0,0,1,51,10083.25,9.21873007974981,8.04450756883954,0,1,3.566666667,0,0,2020
"KSSTID0007",5,0,1,0,0,1,51,8400,9.03610602536485,9.21873007974981,0,1,3.333333333,0,0,2021
"KSSTID0007",6,0,1,0,0,1,51,11537.59,9.35345234888822,9.03610602536485,0,1,3.033333333,0,0,2021
"KSSTID0007",7,0,1,0,0,1,51,10603.54,9.26903749029188,9.35345234888822,0,1,3.033333333,0,0,2021
"KSSTID0008",-8,1,0,0,1,0,46,0,0,,,,3.5,0,0,2017
"KSSTID0008",-7,1,0,0,1,0,46,0,0,0,1,,4,0,0,2018
"KSSTID0008",-6,1,0,0,1,0,46,0,0,0,1,,3.566666667,0,0,2018
"KSSTID0008",-5,1,0,0,1,0,46,0,0,0,1,,3.666666667,0,0,2018
"KSSTID0008",-4,1,0,0,1,0,46,0,0,0,1,,3.133333333,0,0,2018
"KSSTID0008",-3,1,0,0,1,0,46,0,0,0,1,,3.733333333,0,0,2019
"KSSTID0008",-2,1,0,0,1,0,46,0,0,0,1,,3.233333333,0,0,2019
"KSSTID0008",-1,1,0,0,1,0,46,0,0,0,1,,3.5,0,0,2019
"KSSTID0008",0,1,0,0,1,0,46,0,0,0,1,,2.966666667,0,0,2019
"KSSTID0008",1,1,0,0,1,0,46,0,0,0,1,,3.7,0,0,2020
"KSSTID0008",2,1,0,0,1,0,46,0,0,0,1,,14.46666667,0,0,2020
"KSSTID0008",3,1,0,0,1,0,46,0,0,0,1,,9.1,0,0,2020
"KSSTID0008",4,1,0,0,1,0,46,0,0,0,1,,6.533333333,0,0,2020
"KSSTID0008",5,1,0,0,1,0,46,0,0,0,1,,5.7,0,0,2021
"KSSTID0008",6,1,0,0,1,0,46,0,0,0,1,,5.066666667,0,0,2021
"KSSTID0008",7,1,0,0,1,0,46,0,0,0,1,,4.633333333,0,0,2021
"KSSTID0009",-8,0,1,0,1,1,31,677.97,6.52057694396111,,,0,3.5,0,1,2017
"KSSTID0009",-7,1,1,0,1,1,31,0,0,6.52057694396111,0,0,4,0,1,2018
"KSSTID0009",-6,1,1,0,1,1,31,0,0,0,1,0,3.566666667,0,1,2018
"KSSTID0009",-5,1,1,0,1,1,31,0,0,0,1,0,3.666666667,0,1,2018
"KSSTID0009",-4,0,1,0,1,1,31,4435.8,8.39768867486151,0,1,0,3.133333333,0,1,2018
"KSSTID0009",-3,0,1,0,1,1,31,5208.11,8.55816429481921,8.39768867486151,0,0,3.733333333,0,1,2019
"KSSTID0009",-2,0,1,0,1,1,31,6525.13,8.78356939727358,8.55816429481921,0,0,3.233333333,0,1,2019
