"stid","seq","m_rent","treatment","expunge","white","female","age_enroll","total_income","income","income_lag","ps_income","ps_employed","ps_m_rent","full_time","full_time_lag","unemploy_lag","local_unemploy","married","dependent","year"
"KSSTID0019",1,0,1,0,1,0,27,71.36,4.28165366052709,5.20636653780013,5.20636653780013,1,0,0,0,0,3.7,0,0,2020
"KSSTID0019",2,0,1,0,1,0,27,668.61,6.50669545335288,4.28165366052709,5.20636653780013,1,0,0,0,0,9.933333333,0,0,2020
"KSSTID0019",3,0,1,1,1,0,27,298.4,5.70178047198553,6.50669545335288,5.20636653780013,1,0,0,0,0,6.1,0,0,2020
"KSSTID0019",4,0,1,1,1,0,27,0,0,5.70178047198553,5.20636653780013,1,0,0,0,0,4.066666667,0,0,2021
"KSSTID0019",5,0,1,1,1,0,27,0,0,0,5.20636653780013,1,0,0,0,1,3.533333333,0,0,2021
"KSSTID0019",6,0,1,1,1,0,27,656.95,6.48912894059615,0,5.20636653780013,1,0,0,0,1,3.533333333,0,0,2021
"KSSTID0020",1,0,0,0,1,0,58,8755.88,9.07759495610528,9.242155849311,9.242155849311,1,0,1,1,0,3.7,0,0,2020
"KSSTID0020",2,0,0,0,1,0,58,11855.34,9.38061802458757,9.07759495610528,9.242155849311,1,0,0,1,0,14.46666667,0,0,2020
"KSSTID0020",3,0,0,0,1,0,58,7434.62,8.91403724479213,9.38061802458757,9.242155849311,1,0,1,1,0,9.1,0,0,2020
"KSSTID0020",4,0,0,1,1,0,58,8908.26,9.09484646426606,8.91403724479213,9.242155849311,1,0,1,1,0,5.7,0,0,2021
"KSSTID0020",5,0,0,1,1,0,58,10044.72,9.2149019521318,9.09484646426606,9.242155849311,1,0,1,1,0,5.066666667,0,0,2021
"KSSTID0020",6,0,0,1,1,0,58,10188.1,9.22907380043196,9.2149019521318,9.242155849311,1,0,0,1,0,4.633333333,0,0,2021
"KSSTID0021",1,0,1,0,1,0,53,0,0,0,0,1,0,0,0,1,3.7,0,0,2020
"KSSTID0021",2,0,1,0,1,0,53,0,0,0,0,1,0,0,0,1,14.46666667,0,0,2020
"KSSTID0021",3,0,1,0,1,0,53,0,0,0,0,1,0,0,0,1,9.1,0,0,2020
"KSSTID0021",4,1,1,0,1,0,53,0,0,0,0,1,0,0,0,1,5.7,1,0,2021
"KSSTID0021",5,0,1,0,1,0,53,0,0,0,0,1,0,0,0,1,5.066666667,1,0,2021
"KSSTID0021",6,0,1,0,1,0,53,0,0,0,0,1,0,0,0,1,4.633333333,1,0,2021
"KSSTID0022",1,0,1,0,1,0,37,0,0,0,0,1,0,0,0,1,3.9,0,0,2020
"KSSTID0022",2,0,1,0,1,0,37,0,0,0,0,1,0,0,0,1,9.833333333,0,0,2020
"KSSTID0022",3,0,1,0,1,0,37,0,0,0,0,1,0,1,0,1,5.966666667,0,0,2020
"KSSTID0022",4,0,1,1,1,0,37,0,0,0,0,1,0,1,0,1,4.266666667,0,0,2021
"KSSTID0022",5,0,1,1,1,0,37,0,0,0,0,1,0,0,0,1,3.833333333,0,0,2021
"KSSTID0022",6,0,1,1,1,0,37,0,0,0,0,1,0,1,0,1,3.766666667,0,0,2021
"KSSTID0023",1,0,0,0,1,0,29,6096.72,8.7156702098,8.19671791835798,8.19671791835798,1,0,0,1,0,3.533333333,0,0,2020
"KSSTID0023",2,0,0,1,1,0,29,3300.46,8.10212007385625,8.7156702098,8.19671791835798,1,0,0,0,0,7.866666667,0,0,2020
"KSSTID0023",3,0,0,1,1,0,29,7180.48,8.87926076893449,8.10212007385625,8.19671791835798,1,0,1,0,0,5.666666667,0,0,2020
"KSSTID0023",4,0,0,1,1,0,29,5612.24,8.63288337191159,8.87926076893449,8.19671791835798,1,0,1,1,0,5.033333333,0,0,2021
"KSSTID0023",5,0,0,1,1,0,29,2056.34,7.62916916525039,8.63288337191159,8.19671791835798,1,0,0,1,0,4.483333333,0,0,2021
"KSSTID0023",6,0,0,1,1,0,29,5215,8.55948610360649,7.62916916525039,8.19671791835798,1,0,1,0,0,4.15,0,0,2021
"KSSTID0024",1,0,1,1,1,0,39,20111.21,9.90908237230296,9.39463248594641,9.39463248594641,1,0,1,1,0,3.366666667,1,1,2020
"KSSTID0024",2,0,1,1,1,0,39,20167.7,9.91188717671446,9.90908237230296,9.39463248594641,1,0,1,1,0,6.633333333,1,1,2020
"KSSTID0024",3,0,1,1,1,0,39,25631.59,10.1516198677055,9.91188717671446,9.39463248594641,1,0,1,1,0,4.8,1,1,2020
