"stid","homeless","treatment","expunge","white","female","age_enroll","total_income","income","ps_income","ps_employed","unemployed","unemployed_q","local_unemploy","married","dependent"
"KSSTID0095",0,1,1,1,1,24,8935.01833333333,9.08358501816452,5538.52,0,0,0,4.13888888883333,0,1
"KSSTID0096",,0,0,1,0,36,4711.98166666667,8.45168270073755,2947.24,0,0,0,3.17222222216667,0,0
"KSSTID0097",,0,0,1,1,42,2604.15166666667,7.63632304123314,30.84,0,0,0,2.60555555566667,1,1
"KSSTID0098",1,1,1,0,1,25,7572.79666666667,8.22534516542111,6865.54,1,0,0,2.2185185185,1,1
"KSSTID0099",0,0,0,1,0,44,7945.30333333333,8.97787569245944,7087.1,1,0,0,4.72777777783333,1,0
"KSSTID0100",,0,0,1,0,58,0,0,0,1,1,1,2.636111111,1,1
"KSSTID0101",0,1,1,0,1,53,704.166666666667,2.55121979549751,0,1,1,1,4.72777777783333,0,1
"KSSTID0102",0,0,0,1,1,50,7837.46333333333,8.96447207935993,5327.63,0,0,0,3.4944444445,1,0
"KSSTID0103",0,0,0,1,1,32,3365.74,4.39062113066661,0,1,1,1,2.61666666666667,1,1
"KSSTID0104",,1,1,1,1,58,10926.0616666667,9.26746479357487,8757.54,1,0,0,2.636111111,0,0
"KSSTID0105",0,0,0,0,1,34,3899.24333333333,8.16981890669425,5710.04,0,0,0,4.72777777783333,0,1
"KSSTID0106",0,0,0,1,0,52,8769.72666666667,9.07419894590014,7079.16,1,0,0,4.72777777783333,1,0
"KSSTID0107",,0,0,1,0,27,6490.81,8.77356946396301,10394.66,0,0,0,3.46249999983333,1,0
"KSSTID0108",0,0,0,0,0,33,1466.84833333333,4.73638579568444,127.77,1,1,1,3.4944444445,1,0
"KSSTID0109",,0,0,0,0,34,7466.56166666667,8.59160127338947,14496.89,0,0,0,2.97777777766667,1,1
"KSSTID0110",1,1,1,1,0,31,4607.47116666667,8.22488199304399,4179.28,0,1,1,2.72777777783333,0,0
"KSSTID0111",,0,0,0,0,40,3181.747,5.46998606063844,8836.32,0,1,1,4.72777777783333,1,1
"KSSTID0112",,0,0,1,1,41,4491.81666666667,8.40913658958326,4253.65,1,0,0,3.36388888883333,1,1
"KSSTID0113",1,1,1,0,1,37,989.618333333333,2.66054793444351,58.96,1,1,1,3.25555555566667,1,1
"KSSTID0114",0,1,1,0,0,36,406.666666666667,1.30002717839883,4301.4,0,1,1,2.9166666665,1,0
"KSSTID0115",0,1,1,0,0,43,3675.61333333333,8.08388708208011,2251.14,1,0,0,4.71111111116667,0,0
"KSSTID0116",0,1,1,1,0,42,0,0,0,1,1,1,2.9166666665,1,1
"KSSTID0117",0,1,1,0,0,34,0,0,0,1,1,1,2.16111111116667,1,0
"KSSTID0118",0,1,1,0,0,48,0,0,0,1,1,1,4.45000000016667,1,1
"KSSTID0119",,0,0,0,0,36,7853.84166666667,8.80318946056736,10852.58,0,1,1,4.45000000016667,1,1
"KSSTID0120",1,1,1,1,0,44,12910.1633333333,9.45041286313081,9491.76,0,0,0,3.4944444445,1,1
"KSSTID0121",0,0,0,1,1,36,10259.0816666667,9.1983239810141,10941.36,1,0,0,3.19074074066667,1,1
"KSSTID0122",0,0,0,0,1,41,2166.255,2.90511057061859,693.45,1,1,1,2.71111111116667,1,0
"KSSTID0123",0,0,0,1,0,37,15218.03,9.62672071921235,11636.57,1,0,0,4.45000000016667,1,1
